Platform,,Meta,Meta,Meta,Meta,Meta,Meta,LMS,FFH Sheet,FFH Sheet,Fornula,Fornula,FFH Sheet,Formula,Formula,Formula,Formula,FFH Sheet
Platform,Type,Account,Date,Campaign,Ad Name,Spends,Pannel_Lead,Lead_LMS,FFH,Adm,CPL Pannel,CPL LMS,Invoicing_Var,CAC FFH,CAC Adm,CAC / ARPU,Lead Dup,Total_Var
Meta Ads,,FaceBook_University_Admit,2025-12-10,NMIMS_University_MBA_AU,NMIMS_University_MBA_AU_A01,174.87,1,0,0,0,175,175,0,-,-,-,100%,0
Meta Ads,,FaceBook_University_Admit,2025-12-10,NMIMS_University_MBA_AU,NMIMS_University_MBA_AU_A02,0.25,0,0,0,0,0,0,0,-,-,-,0%,0
Meta Ads,,FaceBook_University_Admit,2025-12-10,Online_UG_PG_Degree_Admission,Online_UG_PG_Online_Admission,283.9,6,4,0,0,47,71,0,-,-,-,33%,0
Meta Ads,,FaceBook_University_Admit,2025-12-11,Galgotias_University_2026_AU,Galgotias_University_2026_AU_A02,498.69,26,22,0,0,19,23,0,-,-,-,15%,0
Meta Ads,,FaceBook_University_Admit,2025-12-11,IGNOU_MBA_27th _Aug,IGNOU_MBA - v2Ad2,485.92,1,0,0,0,486,486,0,-,-,-,100%,0
Meta Ads,,FaceBook_University_Admit,2025-12-11,IGNOU_MBA_27th _Aug,IGNOU_MBA_27thAug_V2,188.09,4,3,0,0,47,63,0,-,-,-,25%,0
Meta Ads,,FaceBook_University_Admit,2025-12-11,IIIM_Online_Admission-AU,IIIM_Online_Admission-AU_AdG1_Ad1,582.41,26,24,0,0,22,24,0,-,-,-,8%,0
Meta Ads,,FaceBook_University_Admit,2025-12-11,IIIM_Programs_Admission-AU,IIIM_Programs_Admission-AU_AdG1_Ad1,420.93,10,10,0,0,42,42,0,-,-,-,0%,0
Meta Ads,,FaceBook_University_Admit,2025-12-11,NMIMS_University_MBA_AU,NMIMS_University_MBA_AU_A01,450.39,3,3,0,0,150,150,0,-,-,-,0%,0
Meta Ads,,FaceBook_University_Admit,2025-12-11,NMIMS_University_MBA_AU,NMIMS_University_MBA_AU_A02,4.58,0,0,0,0,5,5,0,-,-,-,0%,0
Meta Ads,,FaceBook_University_Admit,2025-12-11,Online_UG_PG_Degree_Admission,Online_UG_PG_Online_Admission,579.37,15,13,0,0,39,45,0,-,-,-,13%,0
Meta Ads,,FaceBook_University_Admit,2025-12-12,Galgotias_University_2026_AU,Galgotias_University_2026_AU_A02,458.94,14,14,0,0,33,33,0,-,-,-,0%,0
Meta Ads,,FaceBook_University_Admit,2025-12-12,IGNOU_MBA_27th _Aug,IGNOU_MBA - v2Ad2,641.57,10,9,0,0,64,71,0,-,-,-,10%,0
Meta Ads,,FaceBook_University_Admit,2025-12-12,IGNOU_MBA_27th _Aug,IGNOU_MBA_27thAug_V2,55.04,0,0,0,0,55,55,0,-,-,-,0%,0
Meta Ads,,FaceBook_University_Admit,2025-12-12,IIIM_Online_Admission-AU,IIIM_Online_Admission-AU_AdG1_Ad1,272.61,11,12,0,0,25,23,0,-,-,-,-9%,0
Meta Ads,,FaceBook_University_Admit,2025-12-12,IIIM_Programs_Admission-AU,IIIM_Programs_Admission-AU_AdG1_Ad1,442.27,11,10,0,0,40,44,0,-,-,-,9%,0
Meta Ads,,FaceBook_University_Admit,2025-12-12,NMIMS_University_MBA_AU,NMIMS_University_MBA_AU_A01,320.99,4,3,0,0,80,107,0,-,-,-,25%,0
Meta Ads,,FaceBook_University_Admit,2025-12-12,NMIMS_University_MBA_AU,NMIMS_University_MBA_AU_A02,96.18,0,0,0,0,96,96,0,-,-,-,0%,0
Meta Ads,,FaceBook_University_Admit,2025-12-12,Online_UG_PG_Degree_Admission,Online_UG_PG_Online_Admission,615.13,22,19,0,0,28,32,0,-,-,-,14%,0
Meta Ads,,FaceBook_University_Admit,2025-12-13,Galgotias_University_2026_AU,Galgotias_University_2026_AU_A02,429.39,13,13,0,0,33,33,0,-,-,-,0%,0
Meta Ads,,FaceBook_University_Admit,2025-12-13,IGNOU_MBA_27th _Aug,IGNOU_MBA - v2Ad2,338.78,6,6,0,0,56,56,0,-,-,-,0%,0
Meta Ads,,FaceBook_University_Admit,2025-12-13,IGNOU_MBA_27th _Aug,IGNOU_MBA_27thAug_V2,258.43,2,2,0,0,129,129,0,-,-,-,0%,0
Meta Ads,,FaceBook_University_Admit,2025-12-13,IIIM_Online_Admission-AU,IIIM_Online_Admission-AU_AdG1_Ad1,312.84,18,18,0,0,17,17,0,-,-,-,0%,0
Meta Ads,,FaceBook_University_Admit,2025-12-13,IIIM_Programs_Admission-AU,IIIM_Programs_Admission-AU_AdG1_Ad1,359.14,8,7,0,0,45,51,0,-,-,-,13%,0
Meta Ads,,FaceBook_University_Admit,2025-12-13,NMIMS_University_MBA_AU,NMIMS_University_MBA_AU_A01,318.74,1,1,0,0,319,319,0,-,-,-,0%,0
Meta Ads,,FaceBook_University_Admit,2025-12-13,Online_UG_PG_Degree_Admission,Online_UG_PG_Online_Admission,539.74,15,11,0,0,36,49,0,-,-,-,27%,0
Meta Ads,,FaceBook_University_Admit,2025-12-14,Galgotias_University_2026_AU,Galgotias_University_2026_AU_A02,445.11,14,14,0,0,32,32,0,-,-,-,0%,0
Meta Ads,,FaceBook_University_Admit,2025-12-14,IGNOU_MBA_27th _Aug,IGNOU_MBA - v2Ad2,338.59,4,4,0,0,85,85,0,-,-,-,0%,0
