Date,Account,Ad Name,Meta Spend,Sheet Spend,Meta Panel,Sheet Panel,LMS Actual,Sheet LMS,Status
2026-05-04,DegreeFYD,Online_UG_Video_SF_VD2,79.9,79.9,0,0.0,0,0.0,MATCH
2026-05-05,Degreefyd_B,Galgotias_Leads_2026_P_Ad_01,1845.64,1845.6,36,28.0,0,22.0,DISCREPANCY
2026-05-05,Degreefyd_B,IGNOU_Online_Courses_Admission_DFYD_Delhi_NCR_Ad01,1005.0,1004.77,46,42.0,41,41.0,DISCREPANCY
2026-05-05,Degreefyd_B,IGNOU_Online_Courses_Admission_DFYD_Rest_Ad01,555.66,555.2,20,20.0,41,18.0,MATCH
2026-05-05,Degreefyd_B,CU_Lucknow_Rem_Ad01,713.87,713.71,4,4.0,0,4.0,MATCH
2026-05-05,Degreefyd_B,CU_Lucknow_Rem_Ad02,2.54,2.54,0,0.0,0,0.0,MATCH
2026-05-05,Degreefyd_B,CU_Lucknow_Int_ADG1_Ad02,1.95,1.95,0,0.0,0,0.0,MATCH
2026-05-05,Degreefyd_B,CU_Lucknow_Int_ADG1_Ad01,609.88,609.77,12,10.0,0,9.0,DISCREPANCY
2026-05-05,Degreefyd_B,UG_Online_Admission_SF_Ad_Set01_Ad01,102.7,102.29,3,1.0,0,7.0,DISCREPANCY
2026-05-05,Degreefyd_B,UG_Online_Admission_SF_Ad_Set01_Ad02,343.8,343.79,6,2.0,0,7.0,DISCREPANCY
2026-05-05,Degreefyd_B,CU_Mohali_Int_ADG1_Ad02,38.69,38.69,0,0.0,0,0.0,MATCH
2026-05-05,Degreefyd_B,CU_Mohali_Int_ADG1_Ad01,417.69,417.56,11,7.0,0,5.0,DISCREPANCY
2026-05-05,Degreefyd_B,CU_Mohali_Rem_ADG1_Ad01,266.32,265.9,1,1.0,0,1.0,MATCH
2026-05-05,Degreefyd_B,CU_Mohali_Rem_ADG1_Ad02,3.2,3.2,0,0.0,0,0.0,MATCH
2026-05-05,DegreeFYD,Ignou_Online_MBA_SF_Ad1,226.98,226.95,3,1.0,0,0.0,DISCREPANCY
2026-05-05,DegreeFYD,IGNOU_ONLINE_Degree_CR1,414.11,412.53,18,6.0,0,5.0,DISCREPANCY
2026-05-05,DegreeFYD,Online_MBA_SF_G1_CR1,85.46,85.33,3,1.0,0,0.0,DISCREPANCY
2026-05-05,DegreeFYD,Online_MBA_SF_G1_CR2,35.0,35.0,0,0.0,0,0.0,MATCH
2026-05-05,DegreeFYD,CGC_BTECH_REGU_SF_CR1,26.97,26.97,0,0.0,0,0.0,MATCH
2026-05-05,DegreeFYD,CGC_BTECH_REGU_SF_CR2,163.78,163.55,3,1.0,0,1.0,DISCREPANCY
2026-05-05,DegreeFYD,CGC_BTECH_REGU_Rem_SF_AD_01,179.82,179.69,3,1.0,0,0.0,DISCREPANCY
2026-05-05,DegreeFYD,CGC_Landran_UG&PG_SF_CR2,245.51,245.51,0,0.0,0,0.0,MATCH
2026-05-05,DegreeFYD,Online_UG&PG_SF_CR1,70.24,70.24,0,0.0,0,0.0,MATCH
2026-05-05,DegreeFYD,Online_BBA_SF_ASH_CR1,218.8,218.8,0,0.0,0,0.0,MATCH
2026-05-05,DegreeFYD,Online_UG&PG_SF_CR2,208.57,208.57,0,0.0,0,0.0,MATCH
2026-05-05,DegreeFYD,Online_UG_Video_SF_VD2,225.72,225.72,0,0.0,0,0.0,MATCH
2026-05-05,DegreeFYD,ONLINE_MBA_SF_ASH_2_CR1,145.9,145.9,0,0.0,0,0.0,MATCH
2026-05-05,DegreeFYD,Amity_Online_MBA_SF_CR1,220.98,220.8,0,0.0,0,1.0,MATCH
2026-05-05,DegreeFYD,ONLINE_MBA_SF_ASH_2_CR2,93.5,93.5,0,0.0,0,0.0,MATCH
2026-05-05,DegreeFYD,ONLINE_MBA_SF_ASH_3_CR1,177.16,177.16,3,1.0,0,1.0,DISCREPANCY
2026-05-05,DegreeFYD,ONLINE_MBA_SF_ASH_3_CR2,36.59,36.59,0,0.0,0,0.0,MATCH
2026-05-05,DegreeFYD,CU_ONLINE_UG&PG_ASH_4_CR1,76.77,76.77,0,0.0,0,0.0,MATCH
2026-05-05,DegreeFYD,CU_ONLINE_UG&PG_ASH_4_CR2,72.35,72.29,0,0.0,0,0.0,MATCH
2026-05-05,DegreeFYD,Manipal_Online_UG&PG_SF_CR1,121.89,121.89,0,0.0,0,0.0,MATCH
2026-05-05,DegreeFYD,AMITY_ONLINE_UG&PG_ASH_5_CR1,22.08,22.08,0,0.0,0,0.0,MATCH
2026-05-05,DegreeFYD,AMITY_ONLINE_UG&PG_ASH_5_CR2,11.65,11.65,0,0.0,0,0.0,MATCH
2026-05-05,DegreeFYD,Shoolini_Online_UG&PG_SF_CR1,3.42,3.42,0,0.0,0,0.0,MATCH
2026-05-05,DegreeFYD,Manipal_Online_UG&PG_SF_CR2,35.98,35.98,0,0.0,0,0.0,MATCH
2026-05-05,DegreeFYD,Shoolini_Online_UG&PG_SF_CR2,9.15,9.15,0,0.0,0,0.0,MATCH
2026-05-05,DegreeFYD,Shoolini_Online_UG&PG_IF_CR2,0.19,0.19,0,0.0,0,0.0,MATCH
2026-05-06,Degreefyd_B,Galgotias_Leads_2026_P_Ad_01,706.85,0.0,13,0.0,0,0.0,MISSING
2026-05-06,Degreefyd_B,IGNOU_Online_Courses_Admission_DFYD_Delhi_NCR_Ad01,399.42,0.0,9,0.0,0,0.0,MISSING
2026-05-06,Degreefyd_B,IGNOU_Online_Courses_Admission_DFYD_Rest_Ad01,227.66,0.0,10,0.0,0,0.0,MISSING
2026-05-06,Degreefyd_B,CU_Lucknow_Rem_Ad01,268.02,0.0,3,0.0,0,0.0,MISSING
